78;78118;Buchelay;5;Non renseignée;Non renseignée;Non renseignée;Non renseignée;Non renseignée;Non renseignée;Non renseignée;48.9837019552,1.67436909003;"{""type"": ""Polygon"", ""coordinates"": [[[1.663794537455568, 48.969647733077835], [1.654335039261231, 48.98203397494992], [1.6640477045089481, 48.99487719717149], [1.702551852028804, 48.98923824469279], [1.686219936897183, 48.97849326635936], [1.665963893296819, 48.97028344608833], [1.663794537455568, 48.969647733077835]]]}"
91;91654;Videlles;3;Réduction engagée;Oui;Non;Oui;Non;Non;Oui;48.4683664138,2.42068572026;"{""type"": ""Polygon"", ""coordinates"": [[[2.444672047430659, 48.45263887700132], [2.412700367714457, 48.45627251706655], [2.407660084975451, 48.46065574026465], [2.399871546013018, 48.46041870293054], [2.403837375831908, 48.46972298791916], [2.38574775468062, 48.473328304147756], [2.391371982315057, 48.48068928486794], [2.400834819356814, 48.47794854085381], [2.415182717762268, 48.48113278334931], [2.436206338780357, 48.480307825699185], [2.436524087664635, 48.47717862280577], [2.445053291047977, 48.47543751628218], [2.44199594287873, 48.46902679440351], [2.444672047430659, 48.45263887700132]]]}"
92;92033;Garches;3;Réduction engagée;Oui;Oui;Non;Oui;Non concernée;Oui;48.8450113548,2.18665007789;"{""type"": ""Polygon"", ""coordinates"": [[[2.187209859199239, 48.83772909785025], [2.166622818791542, 48.837740331470734], [2.16734905813437, 48.84089323611041], [2.179811681931084, 48.84552120498508], [2.182605727070648, 48.85156614437129], [2.197861040831894, 48.854763223597715], [2.202369880745095, 48.849577016501364], [2.195576958275919, 48.84115834032375], [2.187209859199239, 48.83772909785025]]]}"
92;92049;Montrouge;2;Zéro pesticide sauf espaces à contraintes;Non;Non;Non;Oui;Non concernée;Oui;48.8153032159,2.31648921432;"{""type"": ""Polygon"", ""coordinates"": [[[2.31904946488543, 48.80995199111788], [2.3026796552340683, 48.81111677849685], [2.300143619531496, 48.81135378943319], [2.314148423547311, 48.822290551056035], [2.33190893200826, 48.817012789148606], [2.329063222575344, 48.81378604475913], [2.31904946488543, 48.80995199111788]]]}"
95;95250;Fosses;5;Non renseignée;Non renseignée;Non renseignée;Non renseignée;Non renseignée;Non renseignée;Non renseignée;49.1000437966,2.49906495383;"{""type"": ""Polygon"", ""coordinates"": [[[2.487913528915997, 49.09431320166334], [2.47839893434382, 49.095567063879336], [2.480151901512247, 49.105087498559165], [2.484187308580272, 49.10691212380608], [2.489930909122961, 49.10636117791936], [2.5310627116434388, 49.09959630822913], [2.530765744533759, 49.09609752207641], [2.524519436814459, 49.097889235528015], [2.487913528915997, 49.09431320166334]]]}"
77;77118;Claye-Souilly;1;Zéro pesticide total;Non;Non;Non;Non;Non concernée;Non;48.9429697515,2.67523211808;"{""type"": ""Polygon"", ""coordinates"": [[[2.67106815830867, 48.923287182108396], [2.660678251211213, 48.93032648535752], [2.645187371063745, 48.93033557906492], [2.636460452917778, 48.93309715692634], [2.6367414792515422, 48.94367334457339], [2.643350853897473, 48.95335118355406], [2.653194165163208, 48.955619189511786], [2.674584928304008, 48.956659330682626], [2.681438909288935, 48.952352355346264], [2.690721292198742, 48.95504742535107], [2.705912688991732, 48.95375476344178], [2.723410285392201, 48.960270959102154], [2.724226764631097, 48.95824055324883], [2.720098164227018, 48.94895076149799], [2.710103788289418, 48.941652045864316], [2.697739488965583, 48.938662944249565], [2.694718405290039, 48.93242339656103], [2.683400962189353, 48.92611713923208], [2.6734792379441883, 48.92615346390401], [2.67106815830867, 48.923287182108396]]]}"
77;77223;Gurcy-le-Châtel;1;Zéro pesticide total;Non;Non;Non;Non;Non;Non;48.4844716006,3.0809062943;"{""type"": ""Polygon"", ""coordinates"": [[[3.097484126646235, 48.46151762645408], [3.088202395692242, 48.459923561520604], [3.079347259504054, 48.46279059938438], [3.06229085290079, 48.47477463432657], [3.066614172275243, 48.48055676559581], [3.062570624530323, 48.482475123269076], [3.058526981856036, 48.48457326086749], [3.062021234581927, 48.48705438909927], [3.060174891949308, 48.493739357117825], [3.056021879570525, 48.49572049843724], [3.06638537134171, 48.50292989099201], [3.05747718367062, 48.514512201856036], [3.073577996628849, 48.50612819103841], [3.088752759010409, 48.505461126771166], [3.092403981967843, 48.495535844823465], [3.106695091234331, 48.48126519931565], [3.097248583425482, 48.473104865224464], [3.102045932304965, 48.46328604226751], [3.097484126646235, 48.46151762645408]]]}"
77;77253;Lissy;1;Zéro pesticide total;Non;Non;Non;Non;Non;Non;48.6181092789,2.70150853218;"{""type"": ""Polygon"", ""coordinates"": [[[2.700775676490037, 48.60063282221363], [2.686973058323338, 48.60452825316994], [2.685319749279792, 48.61106341083745], [2.68860185062362, 48.627137327358874], [2.694995919394673, 48.63594201263084], [2.720364375338891, 48.62769286514923], [2.715278273888403, 48.60978953584199], [2.700775676490037, 48.60063282221363]]]}"
93;93010;Bondy;2;Zéro pesticide sauf espaces à contraintes;Non;Non;Non;Oui;Non;Oui;48.9023234526,2.4837276939;"{""type"": ""Polygon"", ""coordinates"": [[[2.486801956303965, 48.88703635491009], [2.476639574002478, 48.8886650931809], [2.471698986846501, 48.889039095377626], [2.473939231697145, 48.89542507924433], [2.469861405218081, 48.904768868997856], [2.475214378256837, 48.91641135374975], [2.474266131597347, 48.91843060128735], [2.47939697783059, 48.91977496079716], [2.4917336814827, 48.916878261504436], [2.491198654219263, 48.91019424357254], [2.49983721841802, 48.89574288314788], [2.4954333629129453, 48.889941848009094], [2.486801956303965, 48.88703635491009]]]}"
95;95078;Boissy-l'Aillerie;5;Non renseignée;Non renseignée;Non renseignée;Non renseignée;Non renseignée;Non renseignée;Non renseignée;49.0831174161,2.03269283542;"{""type"": ""Polygon"", ""coordinates"": [[[2.034625893701164, 49.062807594030595], [2.032666101382389, 49.065903112881166], [2.024039997006091, 49.06760481227257], [2.024537073236035, 49.073921299122595], [2.015862421729434, 49.07737546852351], [2.026891610859027, 49.096519211905374], [2.034578677603833, 49.10064548892879], [2.039478374673731, 49.10005529924011], [2.0460597694659, 49.09215890073508], [2.045585135849868, 49.08298337637142], [2.034625893701164, 49.062807594030595]]]}"
